Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	ES_WR_A1_25_9_3_MHJ	2020	7 / 60	11.7	A1 (lower beginner)	Female	25	Universidad de Granada	Filología Hispánica	4	Spanish	Spanish	Spanish	Spanish	10	9	No	""	""	0	""	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.25 / 6	""	""	""	""	""	Written	3	3. Film	written_online	9	Outside classroom	""	"Yesterday I saw a film named ""Live twice"". The film is based in one old man with alzehimer. The man wanted to find his first love before that he forget his memory. He travels with the family and he lives a lot of adventures.  <br/> When he finds his love, he discovers that she has alzehimer to, and he doesn't remember him. Is a romantic film, but sometimes is hard and sad because the man lose memory many times."	
Learners	ES_SP_A1_20_17_3_MRC	2019	9 / 60	15	A1 (lower beginner)	Female	20	Universidad de Granada	Estudios Ingleses	3º	Spanish	Spanish	Spanish	Spanish	3	17	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	3	3. Film	spoken_offline_lab	10	Outside classroom	""	I'm going to make a summary about the hhh book uh literary movie / the great Gatsby hhh this movie uh talk about / uh / the history of a young man hhh that moved to a hhh great city hhh uh he lives in west edge hhh west edge uh hhh which is a pla= uh which is a place hhh that / uh hhh uh has a great lake hhh in front of his house / hhh uh the other part of the lake / was called east edge and / was the place where the rich people lives / hhh this young man uh start in an office / uh to work hhh uh he / enters in the hhh business of hhh uh gains hhh uh of sports hhh and he has a strange hhh neighbour hhh who hhh uh has / who he has never saw hhh one day he came to he went hhh to hhh uh lunch with / one of hhh her relatives when one with one of his relatives hhh uh he was her his cousin hhh uh hhh they had lunch and talk about hhh their lives because hhh they haven't seen each other for a long time hhh uh curiously uh the name of a great / uh of a well-known citizen uh xxx uh / this man is the great Gatsby hhh uh this man is very well-known hhh because of his massive and great hhh parties hhh parties that he arranged in his mansion / hhh uh these parties were very well-known by all the citizens hhh all xxx all over the country / hhh when the young man returned to hhh his place hhh he found that / his neighbour hhh had a great mansion hhh the / the place was incredible beau= incredible beautiful / and / hhh he receive an invitation to a party in this house / hhh in the party / uh he met his he met his cousin and / the husband of his cousin hhh therefore the party the young man attend was hhh uh / curiously / uh arranged by the great Gatsby hhh when he finally met the great Gatsby hhh he hhh realized that / this man hhh was his neighbour / uh hhh despite of what / people / tell about the great Gatsby hhh uh he was an excellent man and very humble hhh he gives / uh others all what he had hhh uh he was always caring people in his parties hhh procuring that uh people have fun hhh in them hhh so uh this young man eh Gatsby became friends hhh uh hhh he the young man eventually / uh / realized / uh curious / uh story hhh his cou= his cousin and the great Gatsby hhh were in love / a long time ago hhh therefore / uh they were about to marry hhh before Gatsby went to the work / hhh uh that's the reason because that's the reason why they hhh uh didn't finally get married / uh xxx to his cousin and she has really forgotten him hhh so / uh she became very sad when she tells about Gatsby / uh when her when his cousin and Gatsby finally hhh met together again hhh uh there is an undeniable connection between them hhh despite the fact that uh she had a ma= she had a husband hhh uh therefore / hhh in addition uh / she is a very uh bullied uh or abused abused uh somehow uh by hir by her husband because hhh he / cheated on her / with another woman hhh uh / this is also another / reason hhh why she is so sad hhh and she wants to return to Gatsby hhh which is who is uh who really is the love of her life hhh uh / Gatsby made uh the / impossible hhh to hhh take her back hhh but / unfortunately hhh uh she / uh must to / hhh keep marriage to / her husband hhh uh / and the final of the movie hhh at the end of the movie hhh uh she / uh at the end of the movie hhh Gatsby is killed / by a man / hhh he is shoot in his own house / hhh uh nobody uh nobody attend to his funeral except his / very friends and young boy hhh that we are were talking about at the beginning	
Learners	ES_WR_A1_20_17_3_MRC	2019	9 / 60	15	A1 (lower beginner)	Female	20	Universidad de Granada	Estudios Ingleses	3º	Spanish	Spanish	Spanish	Spanish	3	17	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	10	Outside classroom	""	"I have recently seen ""The Great Gatsby"", the 2012 version. This film has diverse elements, mainly involving luxury. Nick, one of its main characters, comes to Long Island to begin a life there. His cousin, Daisy, lives in the other side of the bay, and she is married with a man who is unfaithful to her. During a launch, a great party is mentioned, it would take place in West Egg, next to Nick's house. The host of this party is Jay Gabtsby, a man known by his misterious history and his unbelievable parties. Daisy knows Gatsby, they were in love in the past. At that time, Gatsby had to go to the war. This separated them, and Daisy finally marries to another man. They meet at one of Gatsby's party, and they start to have contact again."	
Learners	ES_SP_A1_21_15_3_ADA	2019	10 / 60	16.7	A1 (lower beginner)	Female	21	Universidad de Granada	Estudios Ingleses	""	Spanish	Spanish	Spanish, French	Spanish	6	15	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.5 / 6	French	A2 (upper beginner)	B2 (upper intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Spoken	3	3. Film	spoken_offline_lab	5	Outside classroom	""	uh two weeks ago I watched Harry Potter because it is / hhh my favourite film / ever / hhh and it is about / a boy / who was born a magician but he doesn't know it because both of his parents / were killed when / he was born / hhh like he was a baby / and he lives with hhh uh his / aunt / and / hhh his cousin and his uncle / and they didn't tell him / anything / hhh but one day he discovers it / and / hhh he realizes that he has to go to a special / school / where they / teach / magic hhh basically hhh uh there are a lot of different courses / hhh uh / with spells hhh in xxx hhh / and / he makes near friends 'cos he didn't have any friend before that hhh / called Ron Weasley which is / who is / sorry / uh his best friend / and a girl called Hermione Granger hhh who is like the great greatest / witch / of xxx / hhh uh hhh while the the course hhh uh is going on / he realizes that hhh at the end of the film more or less he has to defeat / the same exact / guy who killed / his parents when he was born / hhh and hhh that's it / he defeats him / hhh and the film ends	
Learners	ES_WR_A1_21_10_3_MJM	2019	10 / 60	16.7	A1 (lower beginner)	Female	21	Universidad de Granada	Marketing	4°	Spanish	Spanish	Spanish	Spanish	5	10	No	""	""	0	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	6	Inside classroom	Bilingual dictionary (Spanish/English)	The last movie I saw was 'Mia and the white lion'. It was a girl who grows up caring for a little lion and when she became an adult, Mia wanted to save him from the hunters. <br/> Mia and her family lived in the Sahara, and try to protect the lions because they are in danger of extinction but her father decides to sell one of his lions to poachers to get money and continue with the lion shelter. When Mia becomes aware of what her father was going to do, she flees with the lion to take him to a protected reserve.	
Learners	ES_WR_A1_21_15_3_ADA	2019	10 / 60	16.7	A1 (lower beginner)	Female	21	Universidad de Granada	Estudios Ingleses	""	Spanish	Spanish	Spanish, French	Spanish	6	15	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.5 / 6	French	A2 (upper beginner)	B2 (upper intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Written	3	3. Film	written_online	5	Outside classroom	""	Yesterday I watched Harry Potter. It is about a 11 years old kid who discovers that he is a magician. He has to get rid of his normal life and get used to go to a school (called Hogwarts) where he will learn subjects like transfiguration, potions, history of magic, astronomy...  <br/> He will make new friends, named Ron and Hermione, but he will find enemies as well, such as Draco Malfoy. Also, he soon discovers how did his parents die (which was because of a cruel  magician) and will have to defeat him in person at the end of the film. I enjoyed it too much since it is my favorite film since I was a kid and I really like everything that has to do with magic and fantasy.	
Learners	ES_WR_A1_23_17_3_IP	2019	10 / 60	16.7	A1 (lower beginner)	Female	23	Universidad de Granada	Estudios ingleses	4	Spanish	Spanish	Spanish	Spanish	6	17	No	England, Scotland, Ireland	2012, 2014, 2017, 2018, 2019	0	B1	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	3.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	15	Inside classroom	""	The last film that I have watched was about a twenty year old girl in a middle of an existential crisis. She travells to Tokio with her boyfriend because of his profession, he is a famous photographer. During her stay in the city she meets an old actor whose days of Fame had finally ended, he is in Tokio filming addvertisements. Tokio functions as a Sort of glue between The two characters. They feel lonely in a crowded city thing, that serves as a starting point pf the film yo show how impersonal a Big city could be. The story of two souls that Connect, and that despiste the fact of their difference regarding age; they share feelings. They are Lost in translation.	
Learners	ES_WR_A1_25_19_3_MAVM	2019	10 / 60	16.7	A1 (lower beginner)	Female	25	Universidad de Granada	Estudios ingleses	""	Spanish	Spanish	Spanish	Catalan (Mayorca)	6	19	No	""	""	0	""	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	1.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	15	Inside classroom	Bilingual dictionary (Spanish/English)	The last film I have seen is 'Ex-machina'. It is a film about how artificial intelligence interacts with humans. The main protagonist of the film is a young man who has been selected to decide whether a female-like robot has her own consciousness or not, to do so he has to move to the robot creator's house, where he has the robot locked up in a room, and perform with her a series of interviews. The film hookes the audience from the beginning untill the end due to the mysterious atmosphere carried throughout the movie.	
Learners	ES_WR_A1_19_10_3_MMJ	2019	12 / 60	20	A1 (lower beginner)	Female	19	Universidad de Granada	historia	2º	Spanish	Catalan	Spanish	Spanish	6	10	No	""	""	0	""	A1 (lower beginner)	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	1.75 / 6	Catalan	B2 (upper intermediate)	C2 (upper advanced)	C2 (upper advanced)	B2 (upper intermediate)	Written	3	3. Film	written_online	20	Inside classroom	Spellchecker	I recently  see the famous  movie of Titanic, as you probably knows  treats about a tragic love story  that happens in  a boat that crash with a glaciar, the  protagonists  are Rose, a rich girl of a good family and Jack a poor Boy.  <br/> They fall in love  but rose must marry with another guy. They have a relation ship like lovers, But  in the end, when the boat crush Jack dies  and Rose survives. finally Rose tells the story of his love with jack for the  researchers	
Learners	ES_WR_A1_19_10_3_ARR	2019	14 / 60	23.3	A1 (lower beginner)	Female	19	Universidad de Granada	Filología Hispánica	Segundo	Spanish	Spanish	Spanish	Spanish	9	10	No	""	""	0	B1	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	A2 (upper beginner)	2.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	20	Outside classroom	Bilingual dictionary (Spanish/English)	The film is based in the last yeras of the famous writer Miguel de Unamuno, just when military coup in Spain happen, is so interesting movie because you can see the horror that the civil war and the dictadure supose for the spanish people. The plot unfolds above all in Salamanca. We can observate how the protagonist changing his politic vision and  as he finally breaks with his feeling of helplessness.	
Learners	ES_WR_A1_19_13_3_RPR	2019	14 / 60	23.3	A1 (lower beginner)	Female	19	Universidad de Granada	Ciencias de la actividad física y deporte	""	Spanish	Spanish	Spanish	Spanish	6	13	No	""	""	0	""	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	A1 (lower beginner)	1.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	5	Outside classroom	""	The Last week i saw frozen II in the cinema with my friendo, this film was amaizing and very beatiful. The film ecplain the love in two Sister and hom they are the kings of two beatiful places. Elsa y Ana was making a Olaf Who is the Best friend and a funny snowmen. Then there is sven y cristo ff Who is the boyfriend of Ana. In this film all the country have to travel to another place because the country is in a terrible situación. Elsa and Ana find a solution for her country.	
Learners	ES_WR_A1_20_14_3_MVMP	2019	16 / 60	26.7	A1 (lower beginner)	Female	20	Universidad de Granada	Estudios Ingleses	4	Spanish	Spanish	Spanish	Spanish	6	14	Yes	Wales	2018-2019	9	B1	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	Portuguese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	10	Inside classroom	""	"Set in a future North America known as ""Panem"", the Capitol selects a boy and a girl between the ages of 12 and 18 from each of the twelve outlying districts to compete in the annual ""Hunger Games"", a televised fight-to-the-death. The film is centered around Katniss Everdeen - a 16-year-old girl from District 12, who volunteers for her 12-year-old sister, Prim, when Prim's name is chosen - and Katniss's fellow District 12 tribute, Peeta Mellark, with whom she has some rather dramatic history. Katniss is then rushed to the Capitol, where she undergoes intense training before being thrust into the arena to fight to become the victor of the seventy-fourth annual Hunger Games."	
Learners	ES_WR_A2_19_11_3_A	2019	19 / 60	31.7	A2 (upper beginner)	Female	19	Universidad de Granada	terapia ocupacional	primero	Spanish	Spanish	Spanish	Spanish	9	11	No	""	""	0	""	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	2.5 / 6	French	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	3	3. Film	written_online	20	Outside classroom	Bilingual dictionary (Spanish/English)	the film is inhabited in new york. a man had a book store there.  where a famous woman falls in love with a bookseller  the famous woman had a boyfriend but the bookseller dit not know.she went to work outside he went to look for her and she rejected him. <br/> He didn't want to know anything about her. I try to forget her in the end the woman famous realizes that she is in love with the bookseller. she goes back locking for him and the get married .	
Learners	ES_WR_A2_19_Unknown_3_JGT	2016	42 / 120	35	A2 (upper beginner)	Male	19	Universidad de Granada	Filología (excepto Filología Inglesa)	2UNI	Spanish	Spanish	Spanish	Spanish	0	""	No	""	""	0	""	A1 (lower beginner)	A2 (upper beginner)	B1 (lower intermediate)	A2 (upper beginner)	2 / 6	""	""	""	""	""	Written	3	3. Film	written_offline_classroom	""	""	""	The last film that I remember have seen was Hannibal. The film starts when the family of Hannibal Lecter was in danger because a group of Second War World's assasins was around their rural house. Then, the Hannibal's family, except his sister, died in a terrible accident when a fly crashed near of their house. Hannibal only was a child, and he didn't avoid that the assasins ate his sister for survive. <br/> Many years late, Hannibal made his revenge killing one by one all the members of that group of assasins.	
Learners	ES_WR_A2_25_21_3_AMR	2019	21 / 60	35	A2 (upper beginner)	Male	25	Universidad de Sevilla	Grado en Filología Hispánica	Máster MasEle	Spanish	Spanish	Spanish	Spanish	4	21	No	""	""	0	B2	C1 (lower advanced)	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	4.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	4	Inside classroom	Bilingual dictionary (Spanish/English), Spellchecker	In a Spanish class, with my pupils, I watched a film whose name is 'Relatos Salvajes', a serie of short stories the which were telling us the situation of whose principal character in every story and their lives and their own point of view against their greatest and invincible enemy and antagonistic: the society. It reminded me to romantic characters are trying to defeat the mad beast and it is the same for the protagonists of the film: society.	
Learners	ES_WR_A2_19_9_3_VJ	2019	23 / 60	38.3	A2 (upper beginner)	Female	19	Universidad de Granada	Lenguas modernas y sus literaturas	""	Spanish	Spanish	Spanish	Spanish	11	9	No	""	""	0	B1	B1 (lower intermediate)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	2.75 / 6	Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	12	Outside classroom	Bilingual dictionary (Spanish/English)	The last week, I watched on tv a Chinese romantic movie. <br/>  <br/> It was about a university girl that ends up living by accident with a boy that study physical.  <br/>  <br/> They fall In love, but they were afraid of being rejected so nobody said anything. During this history, their former partner appeared, so that complicates their life even more. <br/>  <br/> At the end, they said their feelings and they converted in a love couple.  <br/>  <br/> It was a beautiful history about a innocent love without so much drama.	
Learners	ES_SP_A2_21_18_3_AMO	2019	23 / 60	38.3	A2 (upper beginner)	Female	21	Universidad de Granada	Estudios Ingleses	4º	Spanish	Spanish	Spanish	Spanish	3	18	Yes	United Kingdom	2013	1	First Certificate in English	C1 (lower advanced)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	""	""	""	""	""	Spoken	3	3. Film	spoken_offline_lab	15	Outside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	uh well I'm going to talk about a film that I saw / hhh this uh summer hhh uh the film is once upon a time in Hollywood / hhh uh it is about a / hhh a man who is called Rick Dalton / and his friend Cliff Booth hhh and they are both famous actors uh Cliff Booth is like the / hhh the double of Rick Dalton hhh and the film is uh / uh in uh / the argue the plot / occurs in the sixties / hhh uh / there is a / uh a kind of / hhh uh problem because the main character that is uh / hhh protagonised by uh Brad Pitt / uh / is said to hhh uh is said not to be as prestigious as before hhh uh he starts to decline in his careers so hhh he is xxx to make uh / like / spaghetti westerns that are like the typical westerns of Italy hhh uh / hhh the / the / plot is very hhh like a strange and complicated because is a film of Quentin Tarantino and hhh there are like a lot of scenes uh / very / hhh uh strange hhh uh / the main character hhh tries to / uh achieve hhh to develop his career while hhh uh / the other character tries to help him hhh and in that way they develop the the plot / hhh in / hhh uh in the with the / background hhh of United States during the / the sixties and seventies with the hippie movement hhh and other typical things of that hhh historical period	
Learners	ES_WR_A2_21_18_3_AMO	2019	23 / 60	38.3	A2 (upper beginner)	Female	21	Universidad de Granada	Estudios Ingleses	4º	Spanish	Spanish	Spanish	Spanish	3	18	Yes	United Kingdom	2013	1	First Certificate in English	C1 (lower advanced)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	15	Outside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	Once upon a Time in Hollywood', a Tarantino's film, is about an actor, Rick Dalton, that during the 60s is experiencing the convoluted changes of the cinematographic panorama. He is a very famous actor of Western television series but his career is threatened and he is recommended to participate in Italian Westerns (considered as less prestigious films for his career). His double, Cliff Booth that lives in a trailer with his pitbull is going to accompany him during many episodes of his life while at the same time he expects to find a cinematographic job since his wife's death.	
Learners	ES_WR_A2_27_19_3_AMT	2019	23 / 60	38.3	A2 (upper beginner)	Male	27	Universidad de Granada	Estudios Ingleses	4	Spanish	Spanish	Spanish	Spanish	8	19	Yes	England	2015	9	B1	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	""	""	""	""	""	Written	3	3. Film	written_online	10	Inside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	"The film ""Mad Max: Fury Road"" is a action movie of the filmaker George Miller. The film is about an invented world in which a group of princesses try to scape from their kidnapper. Along the story, they find some soldiers that they will help them to run away in a massive vehicle across the desert. One of the soldier is Max Rockatansky who is the police officer and one of the protagonist of the film.  The movie is full of action, races and adrenaline. The first film was ""Mad Max"" and it was followed by another 2 more: ""Mad Max Beyond Thunderdome"" and ""Mad Max 2"""	
Learners	ES_WR_A2_20_10_3_CJM	2019	24 / 60	40	A2 (upper beginner)	Female	20	Universidad de Granada	Filología Hispánica	3º	Spanish	Spanish	Spanish	Spanish	6	10	No	""	""	0	""	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	A2 (upper beginner)	2.5 / 6	French, Italian	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	3	3. Film	written_online	20	Outside classroom	Bilingual dictionary (Spanish/English)	"The last film that I saw was ""Five feet apart"". This film is based in true fact. one girl called Stella has an illness ""FQ"" that is a bacterium infection, she needs a new lungs for can breathe best. At the hospital she meets Will that he has got the same illness, though is too bad because his bacterium not allowed have new lungs. Both falled in love, but can't touched, kisses and nothing, they need stay a five feet of distance for not spread their diseases. Finally, they finished separated  for a tragic incident, but they follow loving each other."	
Learners	ES_WR_A2_21_15_3_CBC	2016	48 / 120	40	A2 (upper beginner)	Female	21	Universidad de Granada	Filología (excepto Filología Inglesa)	2UNI	Spanish	Spanish	Spanish	Spanish	6	15	No	""	""	0	""	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	1 / 6	""	""	""	""	""	Written	3	3. Film	written_offline_classroom	""	""	""	"Recently, I saw ""La piel que habito"". I watched this film in a Martin's house. The film tell the story about a doctor and his family. His wife death and his daughter wasn't very good, she lived in a psyquiatrical hospital. The doctor kidnap a boy."	
Learners	ES_WR_A2_24_17_3_NAG	2019	24 / 60	40	A2 (upper beginner)	Female	24	Universidad de Sevilla	Comunicación audiovisual y Estudios de Interpretación de danza española y flamenco	4º	Spanish	Spanish	Spanish	Spanish	7	17	No	England	2010	0	UGR (B1), UIMP (destreza oral, B2)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	French	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	4	Outside classroom	Spellchecker	Last film I watched was 'Interestellar': it is one of my favourites and I have it in DVD. It's about a future apocalipsis: humans have ended natural resources and there's nothing to feed new generations, so it's necessary to find other planet with similar Earth conditions to move there all the population or to start there another one from the beginning.  Then stargazers notice that the mission is not about saving  people on planet Earth, but finally they get back to Earth trought a new physical theory and save their family trought the time.	
Learners	ES_WR_A2_18_15_3_TCS	2019	26 / 60	43.3	A2 (upper beginner)	Female	18	Universidad de Granada	Filología Hispánica	Primer curso	Spanish	Spanish	Spanish	Spanish	4	15	No	""	""	0	""	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	2.75 / 6	French	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	3	3. Film	written_online	8	Outside classroom	Spellchecker	The last film that I have seen was Baby in Netflix. This film is about trouble maker's, in other woords is about teenagers. The main character is Laura who is fall in love. She really likes Cristian who is an insensitive young boy. Rebeca is one of her friends and for everybody she looks so rebellious. These girls have a lot of problems in the high school because they do what they want in every moment.Their parents are always angry with them because they dont follow any ruler. On the one hand the problems belong to fights between popular and marginalized student's. On the other hand we usually see the discussions among the parent's. In efect is the perfect film for teenagers who want to feel identificated.	
Learners	ES_WR_A2_Unknown_Unknown_3_ESD	2016	52 / 120	43.3	A2 (upper beginner)	Female	""	Universidad de Granada	Filología (excepto Filología Inglesa)	2UNI	Spanish	Spanish	Spanish	Spanish	0	""	No	""	""	0	""	B1 (lower intermediate)	A2 (upper beginner)	B2 (upper intermediate)	B1 (lower intermediate)	3 / 6	""	""	""	""	""	Written	3	3. Film	written_offline_classroom	""	""	""	"The last film that I have seen is ""A story of violence"" <br/> The main character is played by Viggo Mortensen, in the movie, he is a good father and husband who have a restaurant in his village. One day, two murders, try to stole the money of the restaurant and kill the people who was there, but he kill the murders and he became a hero. The tv go to his house and his photo appear in TV, so, an enigmatic old man appears in his life.  This man use a name different for our character and try to kill him, but he kill the enigmatic man and her family discover that he was a ganster in his youth. He discovered too that his brother want to see him and try to kill him too. But the character who played Viggo win again a kill his brother. His wife rejected him at first, but after a time his family accept him again."	
Learners	ES_WR_A2_20_14_3_MAT	2016	53 / 120	44.2	A2 (upper beginner)	Female	20	Universidad de Granada	Filología (excepto Filología Inglesa)	2UNI	Spanish	Spanish	Spanish	Spanish	6	14	No	""	""	0	""	A1 (lower beginner)	A1 (lower beginner)	B1 (lower intermediate)	A2 (upper beginner)	1.75 / 6	Latin, Greek, Hebrew	""	""	""	""	Written	3	3. Film	written_offline_classroom	""	""	""	"Last Saturday I saw a wonderful film. The film is about a child that live with animals. This story isn't a recent story because the story was created for Walt Disney and was an animation film. This history is called ""the Jungle's Book"". Is the story of a little child that was alone in the Jungle. When this poor child was sleeping, a big snake wanted eat him, but suddenly a jaguar saved him. Then the child start to live with the animals. All the animals love him, but there was a tiger that wanted kill him. The tiger wanted this because he hated humans and he was ttacked attackted by a human. <br/> Tiger was dangerous and the animals believe the best is take the boy with other humans. The boy, called Mowly didn't want this and he fought with the tiger. Finally, Mowly won and lived with his family: the animals."	
Learners	ES_WR_A2_21_15_3_PEO	2019	27 / 60	45	A2 (upper beginner)	Female	21	Universidad de Granada	Estudios ingleses	4°	Spanish	Spanish	Spanish	Spanish	6	15	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Italian	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Written	3	3. Film	written_online	7	Outside classroom	""	The last film that I have seen is “Joker”. It is about a man who dedicates his life to the show. In spite of being a clown, he does not seem to be very happy because many people of his environment treat him badly. For that reason, he starts behaving in a different way and he changes from a good man to a person who commits crimes. So this film represents a criticism of the society and how people can affect in your own personality.	
Learners	ES_WR_A2_25_15_3_SVC	2019	27 / 60	45	A2 (upper beginner)	Female	25	Universidad de Málaga	Máster en Traducción para el Mundo Editorial	1º (y único curso)	Spanish	Spanish	Spanish	Spanish	8	15	No	""	""	0	""	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.25 / 6	French	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	Written	3	3. Film	written_online	15	Outside classroom	Bilingual dictionary (Spanish/English)	A man and a woman, who were friends since they were children and a couple when they were teenagers, play their childhood's game: when he has the tin box that the mother's man gave him as present when he was child,  he has to give her a challenge. If she overcomes the challenge, she can give him other the next challenge. Finally, they fall in love tough they are married, so they spend the rest of their lives together.	
Learners	ES_WR_A2_21_12_3_APC	2019	28 / 60	46.7	A2 (upper beginner)	Female	21	Universidad de Granada	Terapia Ocupacional	Segundo	Spanish	Spanish	Spanish	Spanish	5	12	No	""	""	0	""	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	1.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	5	Outside classroom	Bilingual dictionary (Spanish/English), Spellchecker	The last film that i sea was about a shark threatening a group of girls in underwater caves. The girls went to spend a day in a lake in the jungle. From there he entered some caves sewn from city. Once there appeared the shark who was killing them one by one but two sister survived. After that a group of students on a boat rescued them. A film was very interesting and really funny. i would repeat again and recommend.	
Learners	ES_WR_A2_21_14_3_MGC	2019	28 / 60	46.7	A2 (upper beginner)	Female	21	Universidad de Granada	Estudios ingleses	Cuarto	Spanish	Spanish	Spanish	Spanish	7	14	Yes	United Kingdom	2018-2019	9	""	C1 (lower advanced)	C2 (upper advanced)	C1 (lower advanced)	C1 (lower advanced)	5.25 / 6	""	""	""	""	""	Written	3	3. Film	written_online	3	Inside classroom	Spellchecker	The last film I saw is about a guy who has a perfect life. He's got a wife, a job, a beautiful house, a really kind neighbour's. Basically, he has everything a man of his age could have. But suddenly, he starting to realise due to some program's mistakes. Finally, he realises his whole life has been a lie.  <br/> I like this film because the first time I watched it was in class and we watched it to compare it to the Platon's phylosophy. I loved it.	
